Date,Close
30/05/2012,290.66
31/05/2012,290.09
01/06/2012,283.77
04/06/2012,283.07
05/06/2012,284.99
06/06/2012,291.39
07/06/2012,292.9
08/06/2012,291.73
11/06/2012,291.39
12/06/2012,292.01
13/06/2012,291.6
14/06/2012,291.98
15/06/2012,297.58
18/06/2012,297.01
19/06/2012,301.81
20/06/2012,302.95
21/06/2012,301.64
22/06/2012,298.76
25/06/2012,294.28
26/06/2012,294.05
28/06/2012,297.22
29/06/2012,307.31
02/07/2012,310.27
03/07/2012,314.34
04/07/2012,314.83
05/07/2012,312.97
10/07/2012,312.41
11/07/2012,312.55
12/07/2012,311.42
13/07/2012,314.6
16/07/2012,315.98
17/07/2012,315.3
18/07/2012,319.16
19/07/2012,322.48
20/07/2012,319.75
23/07/2012,312.93
24/07/2012,311.74
25/07/2012,313.09
26/07/2012,320.49
27/07/2012,323.31
30/07/2012,328.65
31/07/2012,326.47
01/08/2012,327.71
02/08/2012,322.16
03/08/2012,330.43
06/08/2012,330.4
08/08/2012,332.04
09/08/2012,334.66
10/08/2012,333.5
13/08/2012,331.38
14/08/2012,332.89
15/08/2012,333.18
16/08/2012,333.75
17/08/2012,335.77
20/08/2012,333.85
21/08/2012,335.92
22/08/2012,332.08
23/08/2012,330.06
24/08/2012,329.64
27/08/2012,332.35
28/08/2012,329.23
29/08/2012,330.15
30/08/2012,327.54
31/08/2012,329.28
03/09/2012,331.89
04/09/2012,328.66
05/09/2012,328.83
06/09/2012,336.43
07/09/2012,337.57
10/09/2012,335.5
11/09/2012,336.11
12/09/2012,336.1
13/09/2012,334.6
14/09/2012,338.28
17/09/2012,337.15
18/09/2012,335.47
19/09/2012,335.71
20/09/2012,334.24
24/09/2012,331.84
25/09/2012,334.5
26/09/2012,328.05
27/09/2012,329.12
28/09/2012,323.18
01/10/2012,327.52
02/10/2012,327.24
03/10/2012,327.98
04/10/2012,327.66
05/10/2012,332.53
08/10/2012,329.57
09/10/2012,327.71
10/10/2012,326.8
11/10/2012,329.55
12/10/2012,327.95
16/10/2012,333.71
17/10/2012,335.69
18/10/2012,335.32
22/10/2012,334.46
23/10/2012,326.75
24/10/2012,328.49
25/10/2012,329.25
26/10/2012,329.45
29/10/2012,328.39
30/10/2012,332.35
31/10/2012,330.76
01/11/2012,335.43
02/11/2012,337.6
05/11/2012,335.08
06/11/2012,337.37
07/11/2012,332.87
08/11/2012,332.42
09/11/2012,331.93
12/11/2012,332.33
13/11/2012,334.04
14/11/2012,330.67
15/11/2012,324.76
19/11/2012,324.74
20/11/2012,326.02
21/11/2012,326.41
22/11/2012,327.7
23/11/2012,331.5
26/11/2012,330.9
27/11/2012,332.92
28/11/2012,334.28
29/11/2012,338.1
30/11/2012,336.55
03/12/2012,334.73
04/12/2012,337.62
05/12/2012,338.85
06/12/2012,341.29
07/12/2012,342.61
10/12/2012,342.91
11/12/2012,344.12
12/12/2012,344.35
14/12/2012,344.39
17/12/2012,343.34
18/12/2012,343.6
19/12/2012,345.14
20/12/2012,346.6
21/12/2012,344.12
27/12/2012,344.71
28/12/2012,342
01/01/2013,342.71
02/01/2013,350.21
03/01/2013,350.74
04/01/2013,351.73
07/01/2013,351.24
08/01/2013,349.11
09/01/2013,350
10/01/2013,350.69
11/01/2013,350.13
14/01/2013,347.34
15/01/2013,347.86
16/01/2013,348.84
17/01/2013,351.19
18/01/2013,350.89
21/01/2013,353.07
22/01/2013,353.45
23/01/2013,353.01
24/01/2013,354.13
25/01/2013,355.74
28/01/2013,356.68
29/01/2013,358.08
30/01/2013,357.54
31/01/2013,354.35
01/02/2013,355.55
04/02/2013,349.69
05/02/2013,348.43
